defined_class	defined_class_label	neuroblast	neuroblast_label	segment	segment_label	other_type	other_type_label
FBbt:00001372	thoracic neuroblast NB1-1	FBbt:00001371	neuroblast NB1-1	FBbt:00000016	thoracic segment		
FBbt:00001373	abdominal neuroblast NB1-1	FBbt:00001371	neuroblast NB1-1	FBbt:00000021	abdominal segment	FBbt:00052382	type II neuroglioblast
FBbt:00001378	thoracic neuroblast NB5-6	FBbt:00001377	neuroblast NB5-6	FBbt:00000016	thoracic segment		
FBbt:00001379	abdominal neuroblast NB5-6	FBbt:00001377	neuroblast NB5-6	FBbt:00000021	abdominal segment		
FBbt:00001386	thoracic neuroblast NB2-2	FBbt:00001385	neuroblast NB2-2	FBbt:00000016	thoracic segment	FBbt:00005147	neuroglioblast
FBbt:00001387	abdominal neuroblast NB2-2	FBbt:00001385	neuroblast NB2-2	FBbt:00000021	abdominal segment		
FBbt:00001395	thoracic neuroblast NB3-1	FBbt:00001394	neuroblast NB3-1	FBbt:00000016	thoracic segment		
FBbt:00001396	abdominal neuroblast NB3-1	FBbt:00001394	neuroblast NB3-1	FBbt:00000021	abdominal segment		
FBbt:00001400	thoracic neuroblast NB6-4	FBbt:00001399	neuroblast NB6-4	FBbt:00000016	thoracic segment	FBbt:00052381	type I neuroglioblast
FBbt:00001401	abdominal neuroblast NB6-4	FBbt:00001399	neuroblast NB6-4	FBbt:00000021	abdominal segment	FBbt:00005145	glioblast
FBbt:00001412	thoracic neuroblast NB2-4	FBbt:00001411	neuroblast NB2-4	FBbt:00000016	thoracic segment		
FBbt:00001413	abdominal neuroblast NB2-4	FBbt:00001411	neuroblast NB2-4	FBbt:00000021	abdominal segment		
FBbt:00001417	thoracic neuroblast NB5-4	FBbt:00001416	neuroblast NB5-4	FBbt:00000016	thoracic segment		
FBbt:00001418	abdominal neuroblast NB5-4	FBbt:00001416	neuroblast NB5-4	FBbt:00000021	abdominal segment		
FBbt:00003561	thoracic neuroblast	FBbt:00005146	neuroblast	FBbt:00000016	thoracic segment	FBbt:00001369	neuroblast of ventral nervous system
FBbt:00003584	abdominal neuroblast	FBbt:00005146	neuroblast	FBbt:00000021	abdominal segment	FBbt:00001369	neuroblast of ventral nervous system
FBbt:00003594	abdominal 2 neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000023	abdominal segment 2		
FBbt:00003596	abdominal 2 neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000023	abdominal segment 2		
FBbt:00003598	abdominal neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000021	abdominal segment		
FBbt:00003599	abdominal 3 neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000024	abdominal segment 3		
FBbt:00003600	abdominal 4 neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000025	abdominal segment 4		
FBbt:00003601	abdominal 5 neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000026	abdominal segment 5		
FBbt:00003602	abdominal 6 neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000027	abdominal segment 6		
FBbt:00003603	abdominal 7 neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000028	abdominal segment 7		
FBbt:00003604	abdominal neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000021	abdominal segment		
FBbt:00003610	abdominal neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000021	abdominal segment		
FBbt:00003611	abdominal 3 neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000024	abdominal segment 3		
FBbt:00003612	abdominal 4 neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000025	abdominal segment 4		
FBbt:00003613	abdominal 5 neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000026	abdominal segment 5		
FBbt:00003614	abdominal 6 neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000027	abdominal segment 6		
FBbt:00003615	abdominal 7 neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000028	abdominal segment 7		
FBbt:00049163	abdominal 1 neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000022	abdominal segment 1		
FBbt:00049164	metathoracic neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000019	metathoracic segment		
FBbt:00049165	mesothoracic neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000018	mesothoracic segment		
FBbt:00049166	prothoracic neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000017	prothoracic segment		
FBbt:00049167	abdominal 1 neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000022	abdominal segment 1		
FBbt:00049168	metathoracic neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000019	metathoracic segment		
FBbt:00049169	mesothoracic neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000018	mesothoracic segment		
FBbt:00049170	prothoracic neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000017	prothoracic segment		
FBbt:00049171	labial neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000014	labial segment		
FBbt:00049172	abdominal 1 neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000022	abdominal segment 1		
FBbt:00049173	metathoracic neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000019	metathoracic segment		
FBbt:00049174	mesothoracic neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000018	mesothoracic segment		
FBbt:00049175	prothoracic neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000017	prothoracic segment		
FBbt:00051363	gnathal neuroblast	FBbt:00005146	neuroblast	FBbt:00000011	gnathal segment	FBbt:00051362	segmentally-repeated neuroblast
FBbt:00052383	labial neuroblast NB5-6	FBbt:00001377	neuroblast NB5-6	FBbt:00000014	labial segment		
FBbt:00052384	labial neuroblast NB6-4	FBbt:00001399	neuroblast NB6-4	FBbt:00000014	labial segment	FBbt:00052381	type I neuroglioblast
FBbt:00052385	maxillary neuroblast NB6-4	FBbt:00001399	neuroblast NB6-4	FBbt:00000013	maxillary segment	FBbt:00005145	glioblast
FBbt:00052392	terminal neuroblast	FBbt:00005146	neuroblast	FBbt:00052388	terminal segment		
FBbt:00052396	anterior abdominal neuroblast	FBbt:00005146	neuroblast	FBbt:00052393	anterior abdominal segment		
FBbt:00052397	maxillary neuroblast NB1-1	FBbt:00001371	neuroblast NB1-1	FBbt:00000013	maxillary segment		
FBbt:00052398	labial neuroblast NB1-1	FBbt:00001371	neuroblast NB1-1	FBbt:00000014	labial segment		
FBbt:00052399	maxillary neuroblast NB1-2	FBbt:00001384	neuroblast NB1-2	FBbt:00000013	maxillary segment		
FBbt:00052400	labial neuroblast NB1-2	FBbt:00001384	neuroblast NB1-2	FBbt:00000014	labial segment		
FBbt:00052401	abdominal neuroblast NB1-2	FBbt:00001384	neuroblast NB1-2	FBbt:00000021	abdominal segment		
FBbt:00052402	thoracic neuroblast NB1-2	FBbt:00001384	neuroblast NB1-2	FBbt:00000016	thoracic segment		
FBbt:00052403	abdominal 1 neuroblast NB1-2	FBbt:00001384	neuroblast NB1-2	FBbt:00000022	abdominal segment 1		
FBbt:00052404	abdominal neuroblast NB2-1	FBbt:00001410	neuroblast NB2-1	FBbt:00000021	abdominal segment		
FBbt:00052405	thoracic neuroblast NB2-1	FBbt:00001410	neuroblast NB2-1	FBbt:00000016	thoracic segment		
FBbt:00052406	mandibular neuroblast NB2-1	FBbt:00001410	neuroblast NB2-1	FBbt:00000012	mandibular segment		
FBbt:00052407	maxillary neuroblast NB2-1	FBbt:00001410	neuroblast NB2-1	FBbt:00000013	maxillary segment		
FBbt:00052408	labial neuroblast NB2-1	FBbt:00001410	neuroblast NB2-1	FBbt:00000014	labial segment		
FBbt:00052409	mandibular neuroblast NB2-2	FBbt:00001385	neuroblast NB2-2	FBbt:00000012	mandibular segment		
FBbt:00052410	maxillary neuroblast NB2-2	FBbt:00001385	neuroblast NB2-2	FBbt:00000013	maxillary segment		
FBbt:00052411	labial neuroblast NB2-2	FBbt:00001385	neuroblast NB2-2	FBbt:00000014	labial segment		
FBbt:00052412	abdominal 1 neuroblast NB2-4	FBbt:00001411	neuroblast NB2-4	FBbt:00000022	abdominal segment 1		
FBbt:00052413	mandibular neuroblast NB2-5	FBbt:00001374	neuroblast NB2-5	FBbt:00000012	mandibular segment		
FBbt:00052414	maxillary neuroblast NB2-5	FBbt:00001374	neuroblast NB2-5	FBbt:00000013	maxillary segment		
FBbt:00052415	labial neuroblast NB2-5	FBbt:00001374	neuroblast NB2-5	FBbt:00000014	labial segment		
FBbt:00052416	thoracic neuroblast NB2-5	FBbt:00001374	neuroblast NB2-5	FBbt:00000016	thoracic segment		
FBbt:00052417	abdominal neuroblast NB2-5	FBbt:00001374	neuroblast NB2-5	FBbt:00000021	abdominal segment		
FBbt:00052418	abdominal 1 neuroblast NB2-5	FBbt:00001374	neuroblast NB2-5	FBbt:00000022	abdominal segment 1		
FBbt:00052419	mandibular neuroblast NB3-1	FBbt:00001394	neuroblast NB3-1	FBbt:00000012	mandibular segment		
FBbt:00052420	maxillary neuroblast NB3-1	FBbt:00001394	neuroblast NB3-1	FBbt:00000013	maxillary segment		
FBbt:00052421	labial neuroblast NB3-1	FBbt:00001394	neuroblast NB3-1	FBbt:00000014	labial segment		
FBbt:00052422	maxillary neuroblast NB3-2	FBbt:00001388	neuroblast NB3-2	FBbt:00000013	maxillary segment		
FBbt:00052423	labial neuroblast NB3-2	FBbt:00001388	neuroblast NB3-2	FBbt:00000014	labial segment		
FBbt:00052424	thoracic neuroblast NB3-2	FBbt:00001388	neuroblast NB3-2	FBbt:00000016	thoracic segment		
FBbt:00052425	abdominal neuroblast NB3-2	FBbt:00001388	neuroblast NB3-2	FBbt:00000021	abdominal segment		
FBbt:00052426	abdominal 1 neuroblast NB3-2	FBbt:00001388	neuroblast NB3-2	FBbt:00000022	abdominal segment 1		
FBbt:00052427	mandibular neuroblast NB3-4	FBbt:00001414	neuroblast NB3-4	FBbt:00000012	mandibular segment		
FBbt:00052428	maxillary neuroblast NB3-4	FBbt:00001414	neuroblast NB3-4	FBbt:00000013	maxillary segment		
FBbt:00052429	labial neuroblast NB3-4	FBbt:00001414	neuroblast NB3-4	FBbt:00000014	labial segment		
FBbt:00052430	thoracic neuroblast NB3-4	FBbt:00001414	neuroblast NB3-4	FBbt:00000016	thoracic segment		
FBbt:00052431	abdominal neuroblast NB3-4	FBbt:00001414	neuroblast NB3-4	FBbt:00000021	abdominal segment		
FBbt:00052432	mandibular neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000012	mandibular segment		
FBbt:00052433	maxillary neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000013	maxillary segment		
FBbt:00052434	labial neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000014	labial segment		
FBbt:00052435	thoracic neuroblast NB3-5	FBbt:00001375	neuroblast NB3-5	FBbt:00000016	thoracic segment		
FBbt:00052436	mandibular neuroblast NB4-1	FBbt:00001397	neuroblast NB4-1	FBbt:00000012	mandibular segment		
FBbt:00052437	maxillary neuroblast NB4-1	FBbt:00001397	neuroblast NB4-1	FBbt:00000013	maxillary segment		
FBbt:00052438	labial neuroblast NB4-1	FBbt:00001397	neuroblast NB4-1	FBbt:00000014	labial segment		
FBbt:00052439	thoracic neuroblast NB4-1	FBbt:00001397	neuroblast NB4-1	FBbt:00000016	thoracic segment		
FBbt:00052440	abdominal neuroblast NB4-1	FBbt:00001397	neuroblast NB4-1	FBbt:00000021	abdominal segment		
FBbt:00052441	mandibular neuroblast NB4-2	FBbt:00001389	neuroblast NB4-2	FBbt:00000012	mandibular segment		
FBbt:00052442	maxillary neuroblast NB4-2	FBbt:00001389	neuroblast NB4-2	FBbt:00000013	maxillary segment		
FBbt:00052443	labial neuroblast NB4-2	FBbt:00001389	neuroblast NB4-2	FBbt:00000014	labial segment		
FBbt:00052444	thoracic neuroblast NB4-2	FBbt:00001389	neuroblast NB4-2	FBbt:00000016	thoracic segment		
FBbt:00052445	abdominal neuroblast NB4-2	FBbt:00001389	neuroblast NB4-2	FBbt:00000021	abdominal segment		
FBbt:00052446	mandibular neuroblast NB4-3	FBbt:00001423	neuroblast NB4-3	FBbt:00000012	mandibular segment		
FBbt:00052447	maxillary neuroblast NB4-3	FBbt:00001423	neuroblast NB4-3	FBbt:00000013	maxillary segment		
FBbt:00052448	labial neuroblast NB4-3	FBbt:00001423	neuroblast NB4-3	FBbt:00000014	labial segment		
FBbt:00052449	thoracic neuroblast NB4-3	FBbt:00001423	neuroblast NB4-3	FBbt:00000016	thoracic segment		
FBbt:00052450	abdominal neuroblast NB4-3	FBbt:00001423	neuroblast NB4-3	FBbt:00000021	abdominal segment		
FBbt:00052451	mandibular neuroblast NB4-4	FBbt:00001415	neuroblast NB4-4	FBbt:00000012	mandibular segment		
FBbt:00052452	maxillary neuroblast NB4-4	FBbt:00001415	neuroblast NB4-4	FBbt:00000013	maxillary segment		
FBbt:00052453	labial neuroblast NB4-4	FBbt:00001415	neuroblast NB4-4	FBbt:00000014	labial segment		
FBbt:00052454	thoracic neuroblast NB4-4	FBbt:00001415	neuroblast NB4-4	FBbt:00000016	thoracic segment		
FBbt:00052455	abdominal neuroblast NB4-4	FBbt:00001415	neuroblast NB4-4	FBbt:00000021	abdominal segment		
FBbt:00052456	maxillary neuroblast NB5-1	FBbt:00001424	neuroblast NB5-1	FBbt:00000013	maxillary segment		
FBbt:00052457	labial neuroblast NB5-1	FBbt:00001424	neuroblast NB5-1	FBbt:00000014	labial segment		
FBbt:00052458	maxillary neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000013	maxillary segment		
FBbt:00052459	thoracic neuroblast NB5-2	FBbt:00001376	neuroblast NB5-2	FBbt:00000016	thoracic segment		
FBbt:00052460	mandibular neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000012	mandibular segment		
FBbt:00052461	maxillary neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000013	maxillary segment		
FBbt:00052462	labial neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000014	labial segment		
FBbt:00052463	labial neuroblast NB5-4	FBbt:00001416	neuroblast NB5-4	FBbt:00000014	labial segment		
FBbt:00052464	mandibular neuroblast NB5-6	FBbt:00001377	neuroblast NB5-6	FBbt:00000012	mandibular segment		
FBbt:00052465	maxillary neuroblast NB5-6	FBbt:00001377	neuroblast NB5-6	FBbt:00000013	maxillary segment		
FBbt:00052466	mandibular neuroblast NB6-1	FBbt:00001398	neuroblast NB6-1	FBbt:00000012	mandibular segment		
FBbt:00052467	maxillary neuroblast NB6-1	FBbt:00001398	neuroblast NB6-1	FBbt:00000013	maxillary segment		
FBbt:00052468	labial neuroblast NB6-1	FBbt:00001398	neuroblast NB6-1	FBbt:00000014	labial segment		
FBbt:00052469	thoracic neuroblast NB6-1	FBbt:00001398	neuroblast NB6-1	FBbt:00000016	thoracic segment		
FBbt:00052470	abdominal neuroblast NB6-1	FBbt:00001398	neuroblast NB6-1	FBbt:00000021	abdominal segment		
FBbt:00052471	abdominal 1 neuroblast NB6-1	FBbt:00001398	neuroblast NB6-1	FBbt:00000022	abdominal segment 1		
FBbt:00052472	mandibular neuroblast NB6-2	FBbt:00001391	neuroblast NB6-2	FBbt:00000012	mandibular segment		
FBbt:00052473	maxillary neuroblast NB6-2	FBbt:00001391	neuroblast NB6-2	FBbt:00000013	maxillary segment		
FBbt:00052474	labial neuroblast NB6-2	FBbt:00001391	neuroblast NB6-2	FBbt:00000014	labial segment		
FBbt:00052475	thoracic neuroblast NB6-2	FBbt:00001391	neuroblast NB6-2	FBbt:00000016	thoracic segment		
FBbt:00052476	abdominal neuroblast NB6-2	FBbt:00001391	neuroblast NB6-2	FBbt:00000021	abdominal segment		
FBbt:00052477	abdominal 1 neuroblast NB6-2	FBbt:00001391	neuroblast NB6-2	FBbt:00000022	abdominal segment 1		
FBbt:00052478	abdominal 2 neuroblast NB6-2	FBbt:00001391	neuroblast NB6-2	FBbt:00000023	abdominal segment 2		
FBbt:00052479	mandibular neuroblast NB7-1	FBbt:00001380	neuroblast NB7-1	FBbt:00000012	mandibular segment		
FBbt:00052480	maxillary neuroblast NB7-1	FBbt:00001380	neuroblast NB7-1	FBbt:00000013	maxillary segment		
FBbt:00052481	labial neuroblast NB7-1	FBbt:00001380	neuroblast NB7-1	FBbt:00000014	labial segment		
FBbt:00052482	thoracic neuroblast NB7-1	FBbt:00001380	neuroblast NB7-1	FBbt:00000016	thoracic segment		
FBbt:00052483	abdominal neuroblast NB7-1	FBbt:00001380	neuroblast NB7-1	FBbt:00000021	abdominal segment		
FBbt:00052484	abdominal 1 neuroblast NB7-1	FBbt:00001380	neuroblast NB7-1	FBbt:00000022	abdominal segment 1		
FBbt:00052485	mandibular neuroblast NB7-2	FBbt:00001392	neuroblast NB7-2	FBbt:00000012	mandibular segment		
FBbt:00052486	maxillary neuroblast NB7-2	FBbt:00001392	neuroblast NB7-2	FBbt:00000013	maxillary segment		
FBbt:00052487	labial neuroblast NB7-2	FBbt:00001392	neuroblast NB7-2	FBbt:00000014	labial segment		
FBbt:00052488	thoracic neuroblast NB7-2	FBbt:00001392	neuroblast NB7-2	FBbt:00000016	thoracic segment		
FBbt:00052489	abdominal neuroblast NB7-2	FBbt:00001392	neuroblast NB7-2	FBbt:00000021	abdominal segment		
FBbt:00052490	mesothoracic neuroblast NB7-2	FBbt:00001392	neuroblast NB7-2	FBbt:00000018	mesothoracic segment		
FBbt:00052491	metathoracic neuroblast NB7-2	FBbt:00001392	neuroblast NB7-2	FBbt:00000019	metathoracic segment		
FBbt:00052492	prothoracic neuroblast NB7-2	FBbt:00001392	neuroblast NB7-2	FBbt:00000017	prothoracic segment		
FBbt:00052493	mandibular neuroblast NB7-3	FBbt:00001426	neuroblast NB7-3	FBbt:00000012	mandibular segment		
FBbt:00052494	maxillary neuroblast NB7-3	FBbt:00001426	neuroblast NB7-3	FBbt:00000013	maxillary segment		
FBbt:00052495	labial neuroblast NB7-3	FBbt:00001426	neuroblast NB7-3	FBbt:00000014	labial segment		
FBbt:00052496	mandibular neuroblast NB7-4	FBbt:00001381	neuroblast NB7-4	FBbt:00000012	mandibular segment		
FBbt:00052497	maxillary neuroblast NB7-4	FBbt:00001381	neuroblast NB7-4	FBbt:00000013	maxillary segment		
FBbt:00052498	labial neuroblast NB7-4	FBbt:00001381	neuroblast NB7-4	FBbt:00000014	labial segment		
FBbt:00052499	thoracic neuroblast NB7-4	FBbt:00001381	neuroblast NB7-4	FBbt:00000016	thoracic segment		
FBbt:00052500	abdominal neuroblast NB7-4	FBbt:00001381	neuroblast NB7-4	FBbt:00000021	abdominal segment		
FBbt:00052501	abdominal 1 neuroblast NB7-4	FBbt:00001381	neuroblast NB7-4	FBbt:00000022	abdominal segment 1		
FBbt:00052502	mandibular neuroblast MNB	FBbt:00001419	neuroblast MNB	FBbt:00000012	mandibular segment		
FBbt:00052503	maxillary neuroblast MNB	FBbt:00001419	neuroblast MNB	FBbt:00000013	maxillary segment		
FBbt:00052504	labial neuroblast MNB	FBbt:00001419	neuroblast MNB	FBbt:00000014	labial segment		
FBbt:00052505	thoracic neuroblast MNB	FBbt:00001419	neuroblast MNB	FBbt:00000016	thoracic segment		
FBbt:00052506	abdominal neuroblast MNB	FBbt:00001419	neuroblast MNB	FBbt:00000021	abdominal segment		
FBbt:00052507	abdominal 1 neuroblast MNB	FBbt:00001419	neuroblast MNB	FBbt:00000022	abdominal segment 1		
FBbt:00052508	mandibular neuroblast MP2	FBbt:00001382	neuroblast MP2	FBbt:00000012	mandibular segment		
FBbt:00052509	labial neuroblast NB3-3	FBbt:00001422	neuroblast NB3-3	FBbt:00000014	labial segment		
FBbt:00052510	maxillary neuroblast NB3-3	FBbt:00001422	neuroblast NB3-3	FBbt:00000013	maxillary segment		
FBbt:00052511	thoracic neuroblast NB3-3	FBbt:00001422	neuroblast NB3-3	FBbt:00000016	thoracic segment		
FBbt:00052512	abdominal neuroblast NB3-3	FBbt:00001422	neuroblast NB3-3	FBbt:00000021	abdominal segment		
FBbt:00052513	abdominal 9 neuroblast NB5-4	FBbt:00001416	neuroblast NB5-4	FBbt:00000030	abdominal segment 9		
FBbt:00100753	abdominal 2 neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000023	abdominal segment 2		
FBbt:00100754	abdominal 3 neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000024	abdominal segment 3		
FBbt:00100755	abdominal 4 neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000025	abdominal segment 4		
FBbt:00100756	abdominal 5 neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000026	abdominal segment 5		
FBbt:00100757	abdominal 6 neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000027	abdominal segment 6		
FBbt:00100758	abdominal 7 neuroblast NB5-3	FBbt:00001390	neuroblast NB5-3	FBbt:00000028	abdominal segment 7		