defined_class	defined_class_label	neuroblast	neuroblast_label	cluster	cluster_label	sex	sex_label	neuron	neuron_label	fruitless	soma_location	soma_location_label
FBbt:00110579	adult fruitless aDT-b (male) neuron	FBbt:00050246	neuroblast CREa1 (male)	FBbt:00110578	adult fruitless aDT-b (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051000	cell body rind of adult anterodorsal antennal lobe
FBbt:00110581	adult fruitless aDT-d (male) neuron			FBbt:00110580	adult fruitless aDT-d (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110583	adult fruitless aDT-e (male) neuron	FBbt:00067347	neuroblast ALl1	FBbt:00110582	adult fruitless aDT-e (male) lineage clone	FBbt:00007004	male organism	FBbt:00052692		http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110585	adult fruitless aIP-b (male) neuron	FBbt:00050157	neuroblast VLPa1	FBbt:00110584	adult fruitless aIP-b (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110587	adult fruitless aIP-c (male) neuron	FBbt:00100612	neuroblast BLAv1	FBbt:00110586	adult fruitless aIP-c (male) lineage clone	FBbt:00007004	male organism	FBbt:00052691		http://flybase.org/reports/FBgn0004652	FBbt:00100209	cell body rind of adult anterior ventrolateral protocerebrum
FBbt:00110589	adult fruitless aIP-d (male) neuron			FBbt:00110588	adult fruitless aIP-d (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100201	adult lateral brain cell body rind
FBbt:00110591	adult fruitless aIP-e (male) neuron	FBbt:00100613	neuroblast BLAv2	FBbt:00110590	adult fruitless aIP-e (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051012	cell body rind of adult lateral lateral horn
FBbt:00110593	adult fruitless aIP-g (male) neuron	FBbt:00049157	neuroblast BLVp2	FBbt:00110592	adult fruitless aIP-g (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100201	adult lateral brain cell body rind
FBbt:00110595	adult fruitless aSP-a (male) neuron	FBbt:00050243	neuroblast SMPad1 (male)	FBbt:00110594	adult fruitless aSP-a (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00003700	adult pars intercerebralis
FBbt:00110597	adult fruitless aSP-b (male) neuron	FBbt:00050201	neuroblast SMPad2	FBbt:00110596	adult fruitless aSP-b (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00003700	adult pars intercerebralis
FBbt:00110603	adult fruitless aSP-h (male) neuron	FBbt:00100592	neuroblast DPLal2	FBbt:00110602	adult fruitless aSP-h (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151|FBbt:00052048	adult anterior brain cell body rind|cell body rind of adult protocerebrum
FBbt:00110605	adult fruitless aSP-i (male) neuron	FBbt:00100545	neuroblast DALcl1	FBbt:00110604	adult fruitless aSP-i (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051006	cell body rind of adult ventral anterior optic tubercle
FBbt:00110607	adult fruitless aSP-k (male) neuron			FBbt:00110606	adult fruitless aSP-k (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051012	cell body rind of adult lateral lateral horn
FBbt:00110609	adult fruitless pIP-a (male) neuron	FBbt:00100610	neuroblast CP3	FBbt:00110608	adult fruitless pIP-a (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110611	adult fruitless pIP-e (male) neuron	FBbt:00100609	neuroblast CP2	FBbt:00110610	adult fruitless pIP-e (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110613	adult fruitless pIP-h (male) neuron	FBbt:00052687	DM6 secondary intermediate neural progenitor 1	FBbt:00110612	adult fruitless pIP-h (male) lineage clone	FBbt:00007004	male organism	FBbt:00110623	adult fruitless pMP-f (male) neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110615	adult fruitless pMP-a (male) neuron	FBbt:00050018	neuroblast DM1	FBbt:00110614	adult fruitless pMP-a (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110617	adult fruitless pMP-b (male) neuron	FBbt:00050121	neuroblast DM2	FBbt:00110616	adult fruitless pMP-b (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110619	adult fruitless pMP-c (male) neuron			FBbt:00110618	adult fruitless pMP-c (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110621	adult fruitless P1 (male) neuron	FBbt:00050252	neuroblast DM4	FBbt:00110620	adult fruitless P1 (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110623	adult fruitless pMP-f (male) neuron	FBbt:00050142	neuroblast DM6	FBbt:00110622	adult fruitless pMP-f (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110625	adult fruitless pSP-b (male) neuron	FBbt:00100600	neuroblast DPLl1	FBbt:00110624	adult fruitless pSP-b (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110850	adult fruitless vAB3 (female) neuron			FBbt:00110849	adult fruitless vAB3 (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111086	cell body rind of adult abdominal neuromere
FBbt:00110852	adult fruitless vAB3 (male) neuron			FBbt:00110851	adult fruitless vAB3 (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111086	cell body rind of adult abdominal neuromere
FBbt:00110854	adult fruitless pIP10 (male) neuron			FBbt:00110853	adult fruitless pIP10 (male) lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00003625	adult brain cell body rind
FBbt:00110856	adult fruitless dPR1 neuron			FBbt:00110855	adult fruitless dPR1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00110858	adult fruitless vPR1 neuron			FBbt:00110857	adult fruitless vPR1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00110860	adult fruitless vPR6 (male) neuron	FBbt:00001398	neuroblast NB6-1	FBbt:00110859	adult fruitless vPR6 (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00111087	adult fruitless dAB1 neuron			FBbt:00111148	adult fruitless dAB1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111086	cell body rind of adult abdominal neuromere
FBbt:00111089	adult fruitless dAB2 neuron			FBbt:00111088	adult fruitless dAB2 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111086	cell body rind of adult abdominal neuromere
FBbt:00111091	adult fruitless dAB3 neuron			FBbt:00111090	adult fruitless dAB3 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111086	cell body rind of adult abdominal neuromere
FBbt:00111093	adult fruitless dMS1 neuron			FBbt:00111092	adult fruitless dMS1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111095	adult fruitless dMS2 neuron			FBbt:00111094	adult fruitless dMS2 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111097	adult fruitless dMS3 neuron			FBbt:00111096	adult fruitless dMS3 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111099	adult fruitless dMS4 neuron			FBbt:00111098	adult fruitless dMS4 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111101	adult fruitless dMS5 neuron			FBbt:00111100	adult fruitless dMS5 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111103	adult fruitless dMS6 neuron			FBbt:00111102	adult fruitless dMS6 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111105	adult fruitless dMT1 neuron			FBbt:00111104	adult fruitless dMT1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00111107	adult fruitless vAB1 neuron			FBbt:00111106	adult fruitless vAB1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111086	cell body rind of adult abdominal neuromere
FBbt:00111109	adult fruitless vAB2 neuron			FBbt:00111108	adult fruitless vAB2 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111086	cell body rind of adult abdominal neuromere
FBbt:00111111	adult fruitless vMS1 neuron			FBbt:00111110	adult fruitless vMS1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111113	adult fruitless vMS2 neuron			FBbt:00111112	adult fruitless vMS2 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111115	adult fruitless vMS3 neuron			FBbt:00111114	adult fruitless vMS3 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111117	adult fruitless vMS4 neuron			FBbt:00111116	adult fruitless vMS4 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111119	adult fruitless vMS5 neuron			FBbt:00111118	adult fruitless vMS5 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111121	adult fruitless vMS6 neuron			FBbt:00111120	adult fruitless vMS6 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111123	adult fruitless vMS7 neuron			FBbt:00111122	adult fruitless vMS7 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111125	adult fruitless vMS8 neuron			FBbt:00111124	adult fruitless vMS8 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111127	adult fruitless vMS9 neuron			FBbt:00111126	adult fruitless vMS9 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111129	adult fruitless vMS10 neuron			FBbt:00111128	adult fruitless vMS10 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111084	cell body rind of adult mesothoracic neuromere
FBbt:00111131	adult fruitless vMT1 neuron			FBbt:00111130	adult fruitless vMT1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111085	cell body rind of adult metathoracic neuromere
FBbt:00111133	adult fruitless vPR2 neuron			FBbt:00111132	adult fruitless vPR2 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00111135	adult fruitless vPR3 neuron			FBbt:00111134	adult fruitless vPR3 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00111137	adult fruitless vPR4 neuron			FBbt:00111136	adult fruitless vPR4 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00111139	adult fruitless vPR5 neuron			FBbt:00111138	adult fruitless vPR5 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00111141	adult fruitless vPR7 neuron			FBbt:00111140	adult fruitless vPR7 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00111143	adult fruitless vPR8 neuron			FBbt:00111142	adult fruitless vPR8 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00111145	adult fruitless vPR9 neuron			FBbt:00111144	adult fruitless vPR9 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00111146	adult fruitless aSG7 neuron							FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100210	cell body rind of adult gnathal ganglion
FBbt:00111147	adult fruitless aSG8 neuron							FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100210	cell body rind of adult gnathal ganglion
FBbt:00111150	adult fruitless vPR6 (female) neuron			FBbt:00111149	adult fruitless vPR6 (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111083	cell body rind of adult prothoracic neuromere
FBbt:00111156	adult fruitless aSG5 neuron			FBbt:00111155	adult fruitless aSG5 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051025	cell body rind of adult ventral gnathal ganglion
FBbt:00111158	adult fruitless pMP6 neuron			FBbt:00111157	adult fruitless pMP6 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00111160	adult fruitless pSG1 neuron			FBbt:00111159	adult fruitless pSG1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051025	cell body rind of adult ventral gnathal ganglion
FBbt:00111162	adult fruitless pSP5 neuron			FBbt:00111161	adult fruitless pSP5 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00111164	adult fruitless pMP1 neuron			FBbt:00111163	adult fruitless pMP1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00111166	adult fruitless pSP4 neuron			FBbt:00111165	adult fruitless pSP4 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00111168	adult fruitless aSG3 neuron			FBbt:00111167	adult fruitless aSG3 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00007665	cell body rind of ventral midline of adult gnathal ganglion
FBbt:00111170	adult fruitless pMP2 neuron			FBbt:00111169	adult fruitless pMP2 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00111172	adult fruitless pMP3 neuron			FBbt:00111171	adult fruitless pMP3 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00111174	adult fruitless pMP7 neuron			FBbt:00111173	adult fruitless pMP7 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00111176	adult fruitless pSG2 neuron			FBbt:00111175	adult fruitless pSG2 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051025	cell body rind of adult ventral gnathal ganglion
FBbt:00111178	adult fruitless pSP2 neuron			FBbt:00111177	adult fruitless pSP2 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00007112	cell body rind of adult mushroom body calyx
FBbt:00111180	adult fruitless aSG4 neuron			FBbt:00111179	adult fruitless aSG4 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100210	cell body rind of adult gnathal ganglion
FBbt:00111182	adult fruitless aSG6 neuron			FBbt:00111181	adult fruitless aSG6 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051025	cell body rind of adult ventral gnathal ganglion
FBbt:00111184	adult fruitless pIP3 neuron			FBbt:00111183	adult fruitless pIP3 lineage clone			FBbt:00110483	adult fruitless pIP-c neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100201	adult lateral brain cell body rind
FBbt:00111186	adult fruitless pSP1 neuron			FBbt:00111185	adult fruitless pSP1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051022	cell body rind of adult posterior superior lateral protocerebrum
FBbt:00111188	adult fruitless aIP4 neuron			FBbt:00111187	adult fruitless aIP4 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051008	cell body rind of adult lateral anterior ventrolateral protocerebrum
FBbt:00111190	adult fruitless aSG1 neuron			FBbt:00111189	adult fruitless aSG1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100210	cell body rind of adult gnathal ganglion
FBbt:00111192	adult fruitless aSG2 neuron			FBbt:00111191	adult fruitless aSG2 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100210	cell body rind of adult gnathal ganglion
FBbt:00111194	adult fruitless aSP10 neuron			FBbt:00111193	adult fruitless aSP10 lineage clone			FBbt:00052691		http://flybase.org/reports/FBgn0004652	FBbt:00051008	cell body rind of adult lateral anterior ventrolateral protocerebrum
FBbt:00111196	adult fruitless pSP3 neuron			FBbt:00111195	adult fruitless pSP3 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051013	cell body rind of adult posterior lateral horn
FBbt:00111198	adult fruitless aSP4 (female) neuron			FBbt:00111197	adult fruitless aSP4 (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151|FBbt:00052048	adult anterior brain cell body rind|cell body rind of adult protocerebrum
