hemilineage	hemilineage_FBbt	neuroblast_FBbt
0A T2	FBbt:00048895	FBbt:00052505
11B T1	FBbt:00051478	FBbt:00052492
11B T2	FBbt:00051478	FBbt:00052490
12A T2	FBbt:00051463	FBbt:00052469
17A T2	FBbt:00048902	FBbt:00052416
17A T3	FBbt:00048902	FBbt:00052416
18B T1	FBbt:00048901	FBbt:00001412
18B T2	FBbt:00048901	FBbt:00001412
18B T3	FBbt:00048901	FBbt:00001412
19A T2	FBbt:00051464	FBbt:00052475
19B T2	FBbt:00051476	FBbt:00052475
19B T3	FBbt:00051476	FBbt:00052475
2A T1	FBbt:00048898	FBbt:00052405
2A T2	FBbt:00048898	FBbt:00052405
2A T3	FBbt:00048898	FBbt:00052405
3B T1	FBbt:00051477	FBbt:00052482
3B T2	FBbt:00051477	FBbt:00052482
3B T3	FBbt:00051477	FBbt:00052482
5B T1	FBbt:00048913	FBbt:00049166
6A T1	FBbt:00051460	FBbt:00049170
6A T2	FBbt:00051460	FBbt:00049169
6A T3	FBbt:00051460	FBbt:00049168
6B T1	FBbt:00051472	FBbt:00049170
6B T2	FBbt:00051472	FBbt:00049169
6B T3	FBbt:00051472	FBbt:00049168
7B T1	FBbt:00048904	FBbt:00052424
7B T2	FBbt:00048904	FBbt:00052424
8B T3	FBbt:00051468	FBbt:00052511